source_id,teff_gspphot,logg_gspphot,lum_flame,radius_flame
541440757558016,4162.5913,4.7464,0.08044017,0.5490278
544503069512576,5194.737,4.2249,2.293492,1.8909428
545740020105216,4462.7876,4.3882,0.29249245,0.9023119
550889685609728,3355.0583,4.5966,,
554016421830784,3527.676,4.5892,0.034093756,0.49382517
555326387102976,7326.339,4.0084,11.391324,2.0932674
556352884034944,4177.114,4.5592,0.11120688,0.64449203
557834647998720,3562.0547,4.7623,,
557834647998848,5282.9736,4.6864,0.5878867,0.91944116
558517547567616,4256.2876,4.3587,0.21322,0.847484
560239829687040,4376.759,4.3295,,
560579131869056,4313.639,4.8038,0.06724925,0.4652283
561717298432896,5051.9165,4.6032,0.4224046,0.9031996
561816082452736,3667.587,4.857,,
562816810060416,5264.208,4.424,0.76486623,1.0554236
566149704800512,5974.609,4.7144,,
566901323703808,3805.2092,4.8203,0.061404236,0.5757488
568211289086208,4520.323,4.5594,0.15995142,0.65344375
568619310619136,3427.0237,4.6569,0.015952533,0.36178207
570096779374976,4354.3696,4.5558,,
572982997401600,3301.6814,4.6339,,
573021652473600,4963.504,4.5316,0.36189544,0.8148636
573571408290944,5927.4634,4.1375,3.5631306,1.7997034
574700984293504,5406.9116,4.6158,0.45803222,0.77075964
576010949709824,5706.6943,4.5534,0.68734115,0.8545582
579099030482176,5497.295,4.3708,0.779431,0.9746702
579373908394240,5529.815,4.7498,,
581920824696064,5672.785,4.6676,0.36370796,0.62269247
582882897367168,5040.2153,4.4934,0.41028866,0.84142816
589514326866816,5969.658,4.1109,1.632356,1.1766645
596519417877248,4413.3486,5.0548,,
597485786161280,5287.3403,3.6148,3.0465727,2.073891
597657584881408,3791.7673,4.7912,0.068481736,0.6266243
7632157690368,5028.776,3.1614,17.328714,5.483958
10140418622208,5135.111,4.1221,1.685141,1.639848
12545600306304,5249.5933,4.4557,0.5969992,0.9326394
14190572136192,3447.3462,4.5343,0.016095558,0.35647944
15255724031744,4422.7446,4.8276,0.06804117,0.4461305
18833432403968,4620.1206,4.6046,0.19892022,0.69538325
20444044513664,4441.7188,4.8621,,
21337397716352,3133.1606,5.0122,,
23158463732608,5895.8726,4.7243,,
28209345413376,5449.4204,4.7219,0.2800995,0.5930538
31026843960448,3395.3423,4.6474,,
31233002391168,3295.5806,4.9663,,
31271657683200,3452.3762,4.6161,,
31679678996224,3246.3525,4.649,,
33779918580480,4944.0435,4.2441,0.98520476,1.3560212
36356898992896,4471.874,4.6099,0.16717316,0.68004733
37486474573440,4741.0156,4.8532,,
38796440413824,4565.9673,4.4588,0.24202256,0.7886435
42576011629952,4230.3716,4.4931,0.06917795,0.49278218
46042049439872,3462.4512,4.5206,,
54773718720896,3686.0906,4.7075,0.0681156,0.63587713
55834575114368,5722.4585,4.6681,0.39390343,0.63730997
56388626421120,4245.28,4.7785,0.052496765,0.4236894
69239168591232,4511.121,4.6058,0.16720827,0.67040366
69818988716288,3512.0222,4.8688,0.023545774,0.41336033
70609262424320,3730.9736,4.6986,0.05141297,0.54421
72705206596480,3654.6372,4.613,,
73839077974272,3804.6077,4.7844,,
74010876531072,3467.0522,4.9356,,
74393129336064,4490.1343,4.6675,0.15974803,0.66141367
76416058217984,3957.2285,4.8542,0.04913515,0.46841916
77515569998080,3400.9536,4.7996,0.024335347,0.4506923
87170656529664,5699.672,4.7174,,
88240103872128,4730.8525,4.8113,0.10574758,0.48447797
91603062588672,5478.441,4.69,0.59323543,0.8546659
94283122143872,5606.546,4.0018,2.226745,1.5830342
106893146356224,3372.5703,4.9715,,
109401407288192,3821.3325,4.8446,0.029140078,0.39245865
111570366240640,5133.6733,4.6886,0.4189303,0.8322177
112738597341056,4509.566,4.5125,0.17657778,0.6884533
118060061406080,4061.1365,4.5954,0.06334841,0.5245073
128402342651904,4356.6104,4.3165,0.19134998,0.7646104
135587823417856,5863.321,3.855,97.338524,12.588989
135862701251456,5751.5063,4.2255,1.7499934,1.3308692
140153373222656,3746.0254,4.6792,0.050422937,0.5332227
140295107481600,5733.581,3.8172,1.0849286,1.0617671
142936511623680,5331.367,4.6392,0.48671713,0.8296769
146170622618752,6421.969,4.1805,2.8042948,1.3533492
146544284158464,4617.8384,4.8536,,
152282360484480,4607.1426,4.4712,0.23808104,0.7646109
153729765076864,6151.8975,4.4417,1.290889,1.0016103
155409096685312,5657.139,4.7281,0.32968408,0.5977043
158364034415872,3699.4988,4.6639,0.050527193,0.54889166
160361194563584,3521.1846,4.8902,0.015152194,0.3348724
160803575843200,3761.423,4.8862,0.03546161,0.44616503
161490770376704,4297.274,4.4351,0.2054963,0.8215924
167709883028864,4694.1294,4.8048,0.10629348,0.49471083
169260366794496,4369.9355,4.6618,0.14989668,0.6765367
170252503693184,3322.0044,4.6312,,
172932563515392,5071.6655,4.7155,0.20153795,0.5828614
174135154368640,5544.661,4.6119,0.35833442,0.66099405
176883933180288,3285.7983,4.6123,,
177949085076992,3602.5745,4.4229,0.059557915,0.6414208
178327042196608,3246.3865,4.6171,,
180599080479872,3732.4321,4.2042,0.11512736,0.81645715
182278412125952,3464.185,4.6382,,
185409443843712,6851.7065,4.4364,2.8677013,1.2015867
187780265787136,5093.8066,4.5041,0.4160085,0.82792133
189734475497600,4586.0845,4.8199,,
190185447474432,5288.7456,3.3734,14.26996,4.5027657
193174744709248,3563.4492,4.7444,0.031370554,0.46466884
193277823924736,4630.4014,4.5254,0.2356169,0.7590332
195408127685504,4901.633,4.4806,0.3940429,0.8654332
201043124775168,5277.5703,4.4355,0.5570851,0.89258534
204680962792960,5488.399,4.6998,0.28418842,0.58899206
204955839607808,3246.039,4.9566,,
205750408953344,4448.1216,4.6206,0.15806858,0.67107844
209976656770688,5066.7314,3.7965,0.5565838,0.97074723
210663851509888,3927.5151,4.7244,0.056239568,0.52872825
211827787332864,4519.544,4.8741,,
216294553339392,4294.8066,4.8485,,
220314642689024,5640.5635,2.8165,62.278145,9.137456
221070556981888,3500.575,4.57,0.02166902,0.40283132
221345434891392,4206.7563,4.3962,,
230351981588608,5400.1006,4.6023,0.6233818,0.90624285
235467287398912,4851.232,4.8856,,
235879604263296,4304.163,4.7808,,
239349937852416,3286.713,4.9434,0.009989036,0.3085645
239972708321664,5144.606,4.3997,0.50881714,0.8972838
240522464133632,5405.119,4.2383,1.1393735,1.2205803
247875448173824,5170.669,4.4091,0.6778206,1.0109836
251105263580288,4775.816,4.8192,0.101966426,0.46822664
254231999767680,4734.729,4.6098,0.22863258,0.7028654
255155417515776,4755.6704,4.8284,0.10061799,0.4677329
259626478688384,4385.328,4.6686,0.13833214,0.68588936
271751171355648,4081.9438,4.9634,,
275225799903104,3616.479,4.3278,0.07099086,0.6787167
275809915454208,5156.4478,4.4543,0.49777198,0.88361615
277145650282368,4318.293,4.5666,0.18115915,0.7558566
278829277472640,3318.6743,4.9482,,
280585919060736,5148.6997,4.4196,0.5836373,0.9598806
284502929403392,6278.823,4.2304,2.1041002,1.2272528
288827960750848,5021.0933,4.7886,,
289205917869440,5041.585,4.6796,0.22181706,0.61937696
292057776374016,4691.728,4.7984,0.101891786,0.4845081
296322679396992,4971.658,4.3472,0.6974614,1.1249806
296868139749888,3930.671,5.0153,,
297250392330752,5617.921,4.5156,0.9928594,1.0461668
302400057413248,4255.6357,4.7182,,
302644871261312,3596.4841,4.4093,0.061427217,0.639141
303710023152256,5129.6226,4.5176,0.26556456,0.65005684
304667800147840,4610.219,4.8177,0.26001418,0.80410904
305118772394112,3758.0547,4.681,0.06778082,0.60923314
307386515153152,5373.5034,4.3249,0.9504281,1.1315109
309512523224320,5195.618,4.3434,0.71744853,1.0465904
309722977358720,5956.845,4.3889,1.1810472,1.0233966
309993559823488,3450.7373,5.0164,,
317831875635200,4955.233,3.1719,8.690613,3.9918418
321061691041536,4793.604,4.4348,0.59450793,1.136645
321297913743104,3248.9912,5.0257,,
329063214656896,5106.7646,4.7905,,
331850648882432,4305.711,4.612,0.120902486,0.62112856
333083304078464,3831.756,4.8881,,
334320254596352,3592.7407,4.5018,,
335282327230848,5667.9507,4.3552,0.99952674,1.0397427
343876557281536,4591.576,4.5506,0.20673624,0.7139777
346694055824512,5919.5254,4.1297,1.9450917,1.3350679
348476466888192,4072.7039,4.9407,,
350160094085248,5746.1064,4.6807,0.3531637,0.6019051
357551733142912,5598.6045,4.6363,0.3572694,0.63568705
367309898831232,5398.109,4.609,1.1397029,1.2263825
367687855951872,5764.6724,4.3639,1.1391982,1.0710062
370402275290752,3519.2598,4.5361,,
372803161473152,3686.2908,4.9395,,
379468950618624,4359.175,4.5512,0.1199626,0.6102521
379748124121344,3652.6836,4.3233,0.080196396,0.7076549
385722423010432,5150.7524,4.7864,0.17380844,0.5224249
386718855425408,3330.9875,4.9132,,
386890654179584,3206.4,4.7231,,
387784007453696,5550.0,4.2938,1.3462348,1.2537086
391151261945600,3487.6042,4.6692,0.028279321,0.46729276
394419732420480,4388.175,4.6188,0.17814589,0.7303815
394419732420608,3848.9534,4.6607,0.081176065,0.6367794
399775556313600,3475.084,4.5741,0.036805846,0.53120464
406303906584192,4916.6387,4.6769,0.30141577,0.7546866
411290363932544,4341.254,4.6084,0.14046057,0.66284096
414000489080704,4580.247,4.3837,0.31410423,0.8901036
417402102245376,4533.7236,4.8308,,
424102250687104,3458.7788,4.5327,,
426271209853440,5466.91,4.3621,1.0926799,1.1666957
427778742694144,5136.927,4.7997,,
429153132236800,4326.1562,4.6978,0.0941715,0.5451858
429191787616768,4249.1597,4.5477,0.16456665,0.74512327
429393650410368,3287.5918,4.9501,0.0105544925,0.31630984
436682210575872,3663.325,4.3213,0.06303533,0.6215346
443343704217472,3290.817,4.8328,,
444103914064000,4455.417,4.6205,0.19257288,0.73544705
447088915787008,3512.2246,4.8713,0.052136797,0.6154214
447368089208704,5629.174,4.4126,1.5005893,1.2940198
449562816956160,3303.8916,4.9294,0.014265529,0.36587265
455236469289984,3555.4534,4.316,,
456404700393600,5153.134,4.4256,0.48647514,0.8747473
456537843899904,3440.7495,4.7658,0.027832206,0.4779545
457366773063936,4210.3447,4.6738,0.14924762,0.7206737
458328845768064,6215.698,4.4995,1.4767644,1.0646465
460424789806464,4811.3315,4.6642,0.23967212,0.70988196
461520005939712,3730.3018,4.8297,0.06651214,0.6153352
466334664803840,5812.8457,4.4691,1.0039703,0.98933446
468774206224896,5855.5684,3.8364,3.6541378,1.8834422
470217315233664,4023.4138,4.6927,0.07839333,0.57879955
471759208024448,3579.2654,4.6132,,
475504419471616,3648.6995,4.4502,0.06290979,0.62340516
