source_id,radial_velocity,radial_velocity_error,phot_bp_mean_mag
1023546541924864,-6.8821025,4.9518366,14.681228
1025947427940480,36.53937,3.5347056,13.966798
1030452849336448,30.31784,6.968133,14.995916
1046876804250624,-2.5592353,5.372504,15.567568
1050347137820800,-34.658222,10.363853,14.984892
1065602861673984,4.320279,4.6681247,14.160753
1078178525850240,-21.742119,7.361854,14.999477
1153873029627776,-82.54351,6.1308084,14.63111
1166792291247232,5.874064,6.3517666,14.769056
1174385793418496,55.727596,1.1123576,13.467491
1193008771611392,-2.445468,5.367528,14.470504
1212250225075712,33.49965,6.889338,14.879535
1235163875425024,18.699512,1.3888013,13.641973
1253825508472192,1.0867183,3.877776,13.836948
1270524341253760,3.0950031,4.1903367,14.515023
1274750589073152,74.88477,14.333306,14.8763685
1298974204585344,57.352543,5.5214763,15.088456
1307632858679936,-43.0499,1.789993,13.660008
1312030905210496,5.1169105,1.726009,13.703038
1328145622478080,-29.659115,5.63226,15.405552
1341958237290112,13.358089,1.1140519,11.842928
1349483019981696,126.57603,0.49967548,12.456527
1355216800717824,26.688139,3.0916896,14.163134
1356939083182592,57.013214,5.39259,13.90047
1364841823003904,34.588,4.3504577,14.519884
1377275752767872,62.96962,2.482222,13.437601
1380441144240256,16.356611,9.013134,14.284388
1384839190777600,50.60913,0.615421,12.156258
1406107868790528,-11.107571,5.9791474,14.853307
1415591156667264,19.118647,2.9535854,14.921701
1434145415381504,-37.08551,7.2770786,15.006306
1475720698862848,-29.340311,2.5404778,13.655999
1501421783061632,-12.096379,6.3596163,14.633744
1541210360101376,8.540522,0.9330626,12.966586
1576394732189312,53.388268,5.207671,15.791388
1582888722734976,18.648626,5.723482,15.257961
1588867317248000,-19.085695,4.5959725,14.195929
1601717859395840,-23.699614,3.2658257,13.987897
1627590742392320,26.151503,4.1469355,15.060527
1664767979249024,-2.0494387,4.9700065,14.35734
1677618521372160,0.2578738,0.4567548,12.776447
1706034025045760,5.871392,3.0897865,13.423349
1722629778675072,23.613853,5.467237,13.98767
1735136723603712,41.754227,4.3997865,14.702546
1753965860050560,-19.81352,5.5154834,15.229716
1766060487944704,-56.182198,2.1257267,13.464128
1769767044279168,-14.44629,4.7514553,13.630325
1839143651571968,16.526398,0.67946696,12.261865
1880203538903040,46.9396,1.509167,13.020217
1892710483670144,60.084797,6.934778,16.44541
1894703348490368,-36.837116,4.36069,14.499035
1897761365206272,23.48098,7.3128204,15.007341
1901227403143040,76.27725,3.059587,14.177864
1903430722023808,30.317005,4.312379,15.409858
1905114349206400,6.531607,3.8209703,14.664192
1913601204574976,-17.194122,5.592416,14.468506
1929509763428096,9.624028,6.2957096,14.8915
1951843593350272,-44.429382,7.270032,14.861264
1990257780894208,-14.2365885,3.235301,16.187902
2048497537394048,-18.688686,4.293375,14.531207
2085498680532224,41.136448,0.4144265,11.605116
2091619009053824,-13.633077,0.40223894,11.836917
2092920384018176,-17.607244,1.0251704,12.945072
2094299068625920,-9.651394,0.3463355,10.478945
2109108115856896,28.04184,5.0712905,15.579162
2109211195072256,-12.038539,6.5736866,15.365195
2129861398175488,24.491476,3.9241283,14.112576
2157933304444288,74.44054,3.5540733,13.564422
2160819522453504,38.40621,4.914516,14.579852
2164530374200960,77.579384,2.2975962,14.433468
2183806187406592,48.09614,7.478331,14.74184
2189166306545792,0.384539,2.421406,13.077553
2213969741771008,40.327618,0.25441423,11.071206
2234761679349248,-38.22047,4.7969537,14.362282
